Date / Time,CPU Usage %,Temperature C
2021-04-27 23:08:07.309350,20.2,57.5
2021-04-27 23:08:17.582752,0.3,56.9
2021-04-27 23:08:27.835754,0.2,56.9
2021-04-27 23:08:38.157628,0.9,56.9
2021-04-27 23:08:48.413675,1.2,56.4
2021-04-27 23:08:58.652146,0.3,56.9
2021-04-27 23:09:08.925067,0.5,55.8
2021-04-27 23:09:19.209173,0.3,56.4
2021-04-27 23:09:29.456465,0.4,56.4
2021-04-27 23:09:39.834133,1,55.8
2021-04-27 23:09:50.142125,1.7,55.8
2021-04-27 23:10:00.405688,0.2,55.8
2021-04-27 23:10:10.644325,0.2,55.8
2021-04-27 23:10:20.842362,0.2,55.8
2021-04-27 23:10:31.110061,0.9,55.8
2021-04-27 23:10:41.341725,0.4,55.8
2021-04-27 23:10:51.615610,1,55.8
2021-04-27 23:11:01.866937,0.4,54.8
2021-04-27 23:11:12.132070,0.3,55.8
2021-04-27 23:11:22.376391,0.3,54.8
2021-04-27 23:11:32.626190,1,55.3
2021-04-27 23:11:42.918720,0.8,55.3
2021-04-27 23:11:53.184778,0.2,54.8
2021-04-27 23:12:03.445132,0.3,55.8
2021-04-27 23:12:13.681528,0.3,54.8
2021-04-27 23:12:24.031897,0.3,54.8
2021-04-27 23:12:34.283591,0.9,54.8
2021-04-27 23:12:44.533881,1,54.2
2021-04-27 23:12:54.903634,0.3,54.8
2021-04-27 23:13:05.290445,0.7,54.8
2021-04-27 23:13:15.622599,0.3,53.7
2021-04-27 23:13:25.820244,0.1,54.2
2021-04-27 23:13:36.112300,1.1,54.8
2021-04-27 23:13:46.367105,0.5,54.2
2021-04-27 23:13:56.557935,0.2,53.7
2021-04-27 23:14:06.807008,0.3,54.8
2021-04-27 23:14:16.997234,0.2,54.2
2021-04-27 23:14:27.253773,0.2,54.2
2021-04-27 23:14:37.678922,0.4,54.8
2021-04-27 23:14:48.217161,0.8,54.2
2021-04-27 23:14:58.421794,0.3,54.2
2021-04-27 23:15:08.613919,0.4,53.7
2021-04-27 23:15:18.848315,0.7,54.2
2021-04-27 23:15:29.039926,0.4,54.2
2021-04-27 23:15:39.498159,1,53.7
2021-04-27 23:15:49.788841,0.4,53.7
2021-04-27 23:15:59.985438,0.3,53.7
2021-04-27 23:16:10.228077,0.3,53.7
2021-04-27 23:16:20.470307,0.3,54.2
2021-04-27 23:16:30.710304,0.6,53.7
2021-04-27 23:16:41.000451,0.3,54.2
2021-04-27 23:16:51.284675,0.4,53.7
2021-04-27 23:17:01.479655,0.3,53.7
2021-04-27 23:17:11.743683,2,54.2
2021-04-27 23:17:21.958430,0.6,53.7
2021-04-27 23:17:32.152130,1.1,54.2
2021-04-27 23:17:42.395689,0.9,54.2
2021-04-27 23:17:52.599948,0.7,53.7
2021-04-27 23:18:02.938659,0.3,53.7
2021-04-27 23:18:13.202089,0.3,53.7
2021-04-27 23:18:23.470266,0.3,53.7
2021-04-27 23:18:33.742302,0.9,53.7
2021-04-27 23:18:44.005855,0.9,53.7
